City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,yuzhno-kurilsk,44.0306,145.8556,286.14,70,17,4.06,RU,1697073847
290,masuda,34.6667,131.85,294.3,49,20,3.6,JP,1697073847
291,poronaysk,49.2167,143.1167,287.2,46,12,3.74,RU,1697073847
292,sao lourenco do oeste,-26.3592,-52.8511,290.71,98,98,1.7,BR,1697073847
293,howrah,22.5892,88.3103,301.15,89,20,0.0,IN,1697073847
294,murray bridge,-35.1167,139.2667,289.33,41,30,9.21,AU,1697073847
295,bamboo flat,11.7,92.7167,299.2,94,40,0.51,IN,1697073847
296,diego martin,10.7005,-61.5342,299.03,85,0,3.35,TT,1697073847
297,saguenay,48.4168,-71.0657,283.2,93,100,1.54,CA,1697073602
298,atar,20.5169,-13.0499,303.24,15,6,3.77,MR,1697073848
299,barclayville,4.6797,-8.2339,297.24,93,100,1.3,LR,1697073622
300,antu,26.05,81.9167,296.68,63,0,1.69,IN,1697073618
301,constantia,44.1833,28.65,282.53,68,8,4.02,RO,1697073848
302,moussoro,13.6408,16.4901,303.19,45,99,3.65,TD,1697073848
303,crucecita,-28.95,-58.9833,285.21,91,100,8.64,AR,1697073848
304,paramirim,-13.4425,-42.2389,296.09,64,0,1.8,BR,1697073848
305,al marj,32.488,20.8317,291.66,70,0,4.46,LY,1697073848
306,westport,41.1415,-73.3579,289.71,80,3,0.45,US,1697073616
307,taulaga,-11.0553,-171.0883,301.45,79,46,7.82,AS,1697073848
308,guarapari,-20.6667,-40.4975,296.42,86,46,5.89,BR,1697073848
309,tolanaro,-25.0319,46.9987,294.19,94,75,4.12,MG,1697073848
310,dauphin,51.1494,-100.0502,281.23,81,100,3.6,CA,1697073848
311,santo tomas la union,14.6333,-91.3833,299.64,99,100,0.21,GT,1697073848
312,abepura,-2.6333,140.5833,301.6,79,40,0.0,ID,1697073848
313,dolores,-36.3132,-57.6792,276.88,65,0,3.13,AR,1697073849
314,mount isa,-20.7333,139.5,305.02,22,95,4.63,AU,1697073849
315,sinabang,2.4803,96.3801,298.68,89,100,2.39,ID,1697073849
316,mogocha,53.7333,119.7667,283.01,58,44,2.24,RU,1697073849
317,beaufort,5.3473,115.7455,301.07,79,100,0.7,MY,1697073849
318,mwinilunga,-11.7358,24.4293,291.74,75,98,1.74,ZM,1697073849
319,skidel',53.5904,24.2478,290.22,63,100,8.35,BY,1697073849
320,tyumen,57.1522,65.5272,275.98,90,20,5.0,RU,1697073578
321,santana,-0.0583,-51.1817,302.25,74,20,4.12,BR,1697073827
322,banfora,10.6333,-4.7667,297.66,88,100,1.07,BF,1697073849
323,salavan,15.7167,106.4167,299.11,79,92,1.33,LA,1697073849
324,manavalakurichi,8.1333,77.3,298.99,84,100,2.2,IN,1697073849
325,la passe,45.5549,-0.8967,286.28,53,100,2.78,FR,1697073849
326,lubao,14.9167,120.55,303.99,73,100,2.17,PH,1697073849
327,zhenzhou,32.2692,119.1789,292.63,72,12,3.12,CN,1697073850
328,guerrero negro,27.9769,-114.0611,293.58,73,50,9.09,MX,1697073850
329,payocpoc sur,16.4944,120.3281,301.65,69,24,0.5,PH,1697073850
330,lake jackson,29.0339,-95.4344,293.18,89,0,2.57,US,1697073850
331,coolidge,32.9778,-111.5176,303.76,25,0,5.14,US,1697073850
332,pogranichnyy,44.4064,131.3769,289.81,39,10,3.93,RU,1697073850
333,am timan,11.0297,20.2827,297.41,86,99,2.28,TD,1697073850
334,manoharpur,27.3,75.95,295.53,33,0,0.82,IN,1697073850
335,luumaki,60.9262,27.5814,281.66,86,6,5.93,FI,1697073850
336,pago pago,-14.2781,-170.7025,303.7,74,75,7.2,AS,1697073850
337,russellville,35.2784,-93.1338,294.25,52,0,1.54,US,1697073850
338,haiku-pauwela,20.9219,-156.3051,301.07,63,20,7.2,US,1697073639
339,naze,28.3667,129.4833,298.66,64,52,7.62,JP,1697073850
340,qaqortoq,60.7167,-46.0333,276.21,82,7,1.51,GL,1697073850
341,cudillero,43.5622,-6.1459,294.07,62,0,4.63,ES,1697073850
342,ladario,-19.0047,-57.6017,303.95,40,29,1.1,BR,1697073851
343,acapulco de juarez,16.8634,-99.8901,299.05,83,100,1.54,MX,1697073677
344,labrador city,52.9463,-66.9114,281.1,93,100,1.03,CA,1697073851
345,ibb,13.9667,44.1833,290.46,61,10,0.54,YE,1697073851
346,benemerito de las americas,16.5167,-90.6439,301.15,76,17,0.29,MX,1697073851
347,beroroha,-21.6667,45.1667,296.86,59,95,1.55,MG,1697073851
348,merizo village,13.2658,144.6691,304.46,83,100,10.79,GU,1697073851
349,kibre mengist,5.8833,38.9833,288.11,97,100,0.98,ET,1697073851
350,lensk,60.7253,114.9278,285.77,66,100,4.92,RU,1697073851
351,mar del plata,-38.0023,-57.5575,280.98,72,20,1.54,AR,1697073851
352,ribeira brava,32.65,-17.0667,301.0,16,96,2.38,PT,1697073851
353,sola,-13.8833,167.55,298.44,84,100,8.37,VU,1697073851
354,kalininsk,51.5,44.4758,273.91,79,93,5.15,RU,1697073851
355,kish,26.5578,54.0194,301.3,74,0,2.06,IR,1697073852
356,uusikaupunki,60.8004,21.4084,282.94,77,100,10.79,FI,1697073852
357,halfaya,35.2599,36.6057,293.79,68,2,0.87,SY,1697073852
358,ustyuzhna,58.8394,36.4321,279.79,89,100,7.92,RU,1697073852
359,beolgyo,34.8449,127.3429,293.14,47,4,1.68,KR,1697073852
360,constitucion,-35.3333,-72.4167,283.93,82,0,4.29,CL,1697073852
